"#51057170BCSV 	",,,,,,
// AQ6370D OPTICAL SPECTRUM ANALYZER //,,,,,,
35,,,,,,
CTRWL,1550,,,,,
SPAN,20,,,,,
START WL,1540,,,,,
STOP WL,1560,,,,,
WLFREQ,0,,,,,
REFL,-10,,,,,
LSCL,10,,,,,
RESLN,1,,,,,
AVG,1,,,,,
SMPLAUTO,1,,,,,
SMPL,501,,,,,
SMPLINTVL,0.04,,,,,
HIGH1,,,,,,
MEAS,,,,,,
LSUNT,1,,,,,
NMSKH,OFF,,,,,
RESCOR,0,,,,,
RESCORMODE,2,,,,,
SMOOTH,0,,,,,
FIBERTYPE,0,,,,,
MEASWL,1,,,,,
SWPSPD,0,,,,,
MODELNAME,AQ6370D,,,,,
NEBWCAL0,0,,,,,
NEBWCAL1,0,,,,,
NEBWCALWL,0,,,,,
RESPARM,10013,,,,,
FREQPARM,10013,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
[TRACE DATA],,,,,,
1540,-67.571,,,,,"שלב 1 - לנרמל כל מדידה במפני עצמה. לנרמל כל מדידה לפי הפיקסל הראשון של אותה מדידה עצמה. זה לא חייב להיות הפיקסל הראשון, אבל צריך לקחת פיקסל שהוא לא מושפע מהדגימה הראשונה. זאת אומרת שצריך לדעת שכל הגזים שאנחנו עובדים איתם אז אנחנו צריכים לדעת שהאורך גל הספציפי הזה לא עובד איתם."
1540.04,-67.568,,,,,שלב 2 - 
1540.08,-67.689,,,,,גרף עברה - בוחרים מדידה אחת לפיה אנחנו נבצע את ההעברה (נחלק את כל המדידות השונות פיקסל פיקסל מהפיקסל של מדידת ההעברה). אפשר לקחת את המדידת העברה הזאת בתור ממוצע של כמה דגימות נקיות. בלי גז או חומר. 
1540.12,-67.64,,,,,
1540.16,-67.494,,,,,
1540.2,-67.293,,,,,
1540.24,-67.438,,,,,
1540.28,-67.668,,,,,
1540.32,-67.687,,,,,
1540.36,-67.348,,,,,
1540.4,-67.148,,,,,
1540.44,-67.208,,,,,
1540.48,-67.368,,,,,
1540.52,-67.279,,,,,
1540.56,-67.004,,,,,
1540.6,-66.775,,,,,
1540.64,-66.829,,,,,
1540.68,-66.962,,,,,
1540.72,-66.988,,,,,
1540.76,-66.855,,,,,
1540.8,-66.488,,,,,
1540.84,-66.452,,,,,
1540.88,-66.586,,,,,
1540.92,-66.688,,,,,
1540.96,-66.516,,,,,
1541,-66.272,,,,,
1541.04,-66.379,,,,,
1541.08,-66.618,,,,,
1541.12,-66.75,,,,,
1541.16,-66.635,,,,,
1541.2,-66.429,,,,,
1541.24,-66.377,,,,,
1541.28,-66.654,,,,,
1541.32,-66.902,,,,,
1541.36,-66.716,,,,,
1541.4,-66.472,,,,,
1541.44,-66.344,,,,,
1541.48,-66.603,,,,,
1541.52,-66.681,,,,,
1541.56,-66.61,,,,,
1541.6,-66.371,,,,,
1541.64,-66.318,,,,,
1541.68,-66.486,,,,,
1541.72,-66.563,,,,,
1541.76,-66.48,,,,,
1541.8,-66.193,,,,,
1541.84,-66.195,,,,,
1541.88,-66.249,,,,,
1541.92,-66.342,,,,,
1541.96,-66.335,,,,,
1542,-66.089,,,,,
1542.04,-65.969,,,,,
1542.08,-65.98,,,,,
1542.12,-66.133,,,,,
1542.16,-66.074,,,,,
1542.2,-65.863,,,,,
1542.24,-65.773,,,,,
1542.28,-65.859,,,,,
1542.32,-65.911,,,,,
1542.36,-65.958,,,,,
1542.4,-65.843,,,,,
1542.44,-65.684,,,,,
1542.48,-65.657,,,,,
1542.52,-65.834,,,,,
1542.56,-66.029,,,,,
1542.6,-66.012,,,,,
1542.64,-65.811,,,,,
1542.68,-65.867,,,,,
1542.72,-66.182,,,,,
1542.76,-66.276,,,,,
1542.8,-66.244,,,,,
1542.84,-66.153,,,,,
1542.88,-66.006,,,,,
1542.92,-66.116,,,,,
1542.96,-66.431,,,,,
1543,-66.375,,,,,
1543.04,-66.295,,,,,
1543.08,-66.167,,,,,
1543.12,-66.295,,,,,
1543.16,-66.522,,,,,
1543.2,-66.465,,,,,
1543.24,-66.339,,,,,
1543.28,-66.034,,,,,
1543.32,-66.223,,,,,
1543.36,-66.478,,,,,
1543.4,-66.788,,,,,
1543.44,-66.557,,,,,
1543.48,-66.409,,,,,
1543.52,-66.462,,,,,
1543.56,-66.697,,,,,
1543.6,-66.9,,,,,
1543.64,-66.789,,,,,
1543.68,-66.559,,,,,
1543.72,-66.463,,,,,
1543.76,-66.737,,,,,
1543.8,-66.8,,,,,
1543.84,-66.582,,,,,
1543.88,-66.251,,,,,
1543.92,-66.122,,,,,
1543.96,-66.213,,,,,
1544,-66.509,,,,,
1544.04,-66.226,,,,,
1544.08,-65.992,,,,,
1544.12,-65.895,,,,,
1544.16,-66.03,,,,,
1544.2,-66.287,,,,,
1544.24,-66.207,,,,,
1544.28,-66.281,,,,,
1544.32,-66.304,,,,,
1544.36,-66.305,,,,,
1544.4,-66.591,,,,,
1544.44,-66.468,,,,,
1544.48,-66.393,,,,,
1544.52,-66.649,,,,,
1544.56,-66.691,,,,,
1544.6,-66.49,,,,,
1544.64,-66.519,,,,,
1544.68,-66.504,,,,,
1544.72,-66.654,,,,,
1544.76,-66.824,,,,,
1544.8,-66.596,,,,,
1544.84,-66.431,,,,,
1544.88,-66.494,,,,,
1544.92,-66.502,,,,,
1544.96,-66.856,,,,,
1545,-66.824,,,,,
1545.04,-66.354,,,,,
1545.08,-66.529,,,,,
1545.12,-66.769,,,,,
1545.16,-66.737,,,,,
1545.2,-66.778,,,,,
1545.24,-66.653,,,,,
1545.28,-66.543,,,,,
1545.32,-66.799,,,,,
1545.36,-66.801,,,,,
1545.4,-66.792,,,,,
1545.44,-66.64,,,,,
1545.48,-66.556,,,,,
1545.52,-66.611,,,,,
1545.56,-66.609,,,,,
1545.6,-66.553,,,,,
1545.64,-66.513,,,,,
1545.68,-66.654,,,,,
1545.72,-66.597,,,,,
1545.76,-66.492,,,,,
1545.8,-66.524,,,,,
1545.84,-66.73,,,,,
1545.88,-66.885,,,,,
1545.92,-66.81,,,,,
1545.96,-66.733,,,,,
1546,-66.75,,,,,
1546.04,-67.026,,,,,
1546.08,-67.41,,,,,
1546.12,-67.192,,,,,
1546.16,-67.021,,,,,
1546.2,-66.887,,,,,
1546.24,-67.106,,,,,
1546.28,-67.523,,,,,
1546.32,-67.424,,,,,
1546.36,-67.07,,,,,
1546.4,-67.024,,,,,
1546.44,-67.201,,,,,
1546.48,-67.298,,,,,
1546.52,-67.423,,,,,
1546.56,-67.079,,,,,
1546.6,-67.006,,,,,
1546.64,-67.252,,,,,
1546.68,-67.507,,,,,
1546.72,-67.506,,,,,
1546.76,-67.29,,,,,
1546.8,-67.135,,,,,
1546.84,-67.332,,,,,
1546.88,-67.431,,,,,
1546.92,-67.279,,,,,
1546.96,-66.972,,,,,
1547,-66.853,,,,,
1547.04,-67.06,,,,,
1547.08,-66.993,,,,,
1547.12,-66.698,,,,,
1547.16,-66.476,,,,,
1547.2,-66.356,,,,,
1547.24,-66.519,,,,,
1547.28,-66.667,,,,,
1547.32,-66.439,,,,,
1547.36,-66.095,,,,,
1547.4,-66.108,,,,,
1547.44,-66.263,,,,,
1547.48,-66.46,,,,,
1547.52,-66.376,,,,,
1547.56,-66.282,,,,,
1547.6,-66.483,,,,,
1547.64,-66.732,,,,,
1547.68,-67.024,,,,,
1547.72,-66.894,,,,,
1547.76,-66.729,,,,,
1547.8,-66.799,,,,,
1547.84,-67.055,,,,,
1547.88,-67.266,,,,,
1547.92,-67.114,,,,,
1547.96,-67.031,,,,,
1548,-67.065,,,,,
1548.04,-67.247,,,,,
1548.08,-67.384,,,,,
1548.12,-67.382,,,,,
1548.16,-67.297,,,,,
1548.2,-67.28,,,,,
1548.24,-67.381,,,,,
1548.28,-67.521,,,,,
1548.32,-67.605,,,,,
1548.36,-67.653,,,,,
1548.4,-67.523,,,,,
1548.44,-67.592,,,,,
1548.48,-67.757,,,,,
1548.52,-67.796,,,,,
1548.56,-67.969,,,,,
1548.6,-67.803,,,,,
1548.64,-67.413,,,,,
1548.68,-67.495,,,,,
1548.72,-67.785,,,,,
1548.76,-67.796,,,,,
1548.8,-67.583,,,,,
1548.84,-67.041,,,,,
1548.88,-67.057,,,,,
1548.92,-67.296,,,,,
1548.96,-67.433,,,,,
1549,-67.196,,,,,
1549.04,-66.725,,,,,
1549.08,-66.474,,,,,
1549.12,-66.899,,,,,
1549.16,-67.145,,,,,
1549.2,-67.014,,,,,
1549.24,-66.724,,,,,
1549.28,-66.572,,,,,
1549.32,-66.876,,,,,
1549.36,-67.207,,,,,
1549.4,-67.027,,,,,
1549.44,-66.762,,,,,
1549.48,-66.784,,,,,
